Date,6A,6B,6C,6E,6J,6M,6N,6S,CT,ES,FCE,FDAX,FSMI,GC,GF,HE,HG,KC,KE,LE,LRC,LSU,NQ,PL,RB,RTY,SB,SCN,SI,UB,VX,WBS,YM,ZC,ZL,ZM,ZN,ZR,ZS,ZW
1977-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.25,
1977-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.25,
1977-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.75,
1977-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.75,
1977-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.25,
1977-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.75,
1977-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.75,
1977-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.25,
1977-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.25,
1977-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.75,
1977-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.75,
1977-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.25,
1977-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.25,
1977-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.25,
1977-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.75,
1977-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.25,
1977-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.25,
1977-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.75,
1977-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.75,
1977-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.75,
1977-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.75,
1977-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.25,
1977-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.25,
